"","test_freq","delay","sensitivity","sens_multiplier","R0","R0_base","R0.upper","R0.lower","R0.Q3","R0.Q1"
"1",1,0,"perfect",1,0.78254678938587,1.5,0.7853323103031,0.779761268468641,0.668928140930543,0.944493849086676
"2",2,0,"perfect",1,0.800075620761503,1.5,0.802701505070574,0.79744973645243,0.705490669312314,0.947771988170346
"3",3,0,"perfect",1,0.812665230123666,1.5,0.815207503786131,0.810122956461201,0.70836915089582,0.951466840011021
"4",4,0,"perfect",1,0.838157514227882,1.5,0.840745366718484,0.835569661737278,0.760555982529378,0.96935721945305
"5",5,0,"perfect",1,0.862396317856722,1.5,0.86480977633767,0.859982859375772,0.781659685183849,0.987701627110564
"6",7,0,"perfect",1,0.929066956092774,1.5,0.931420326443256,0.926713585742292,0.862010239582148,1.04740859959426
"7",10,0,"perfect",1,1.00490662240199,1.5,1.00716435707516,1.00264888772883,0.932022267315483,1.11841306022554
"8",15,0,"perfect",1,1.18939202189498,1.5,1.1912601598995,1.18752388389045,1.1390511753743,1.27381334568271
"9",20,0,"perfect",1,1.1818995567423,1.5,1.18394284399987,1.17985626948474,1.11526651760843,1.27926717071358
"10",25,0,"perfect",1,1.1841856202777,1.5,1.18615051941161,1.1822207211438,1.10524164329747,1.27956904425742
"11",30,0,"perfect",1,1.28147925328456,1.5,1.28289954696259,1.28005895960652,1.215728264065,1.35197618890437
"12",1,1,"random",1,0.765115310888897,1.5,0.767660150423433,0.76257047135436,0.646726819048053,0.91725931530363
"13",2,1,"random",1,0.853730316071583,1.5,0.856051328826646,0.851409303316518,0.767339573205832,0.980355201898713
"14",3,1,"random",1,0.932736141304235,1.5,0.934928546861968,0.930543735746499,0.847273324878518,1.04700611776063
"15",4,1,"random",1,1.01760239592264,1.5,1.01981367067175,1.01539112117353,0.95703808363315,1.13148018738817
"16",5,1,"random",1,1.09076789704271,1.5,1.09293891879245,1.08859687529297,1.02168773229052,1.19520427700865
"17",7,1,"random",1,1.19678022654088,1.5,1.19871164771697,1.1948488053648,1.14161708524427,1.29751972957488
"18",10,1,"random",1,1.31399159635419,1.5,1.31554312932882,1.31244006337956,1.27833218531279,1.37848137915697
"19",15,1,"random",1,1.40699369297556,1.5,1.40793358718483,1.40605379876629,1.36868287341717,1.44505597077795
"20",20,1,"random",1,1.43199755227558,1.5,1.43292952659463,1.43106557795653,1.3941443151016,1.4710980712074
"21",25,1,"random",1,1.44558852219475,1.5,1.44651328042914,1.44466376396036,1.40866336057033,1.48296389365369
"22",30,1,"random",1,1.45929246268424,1.5,1.46016344049276,1.45842148487572,1.42409379725115,1.49694602436206
