"","test_freq","R0","delay","sensitivity","sens_multiplier","CI"
"1",1,2.5,1,"random",1,"82.5% (82.5,82.6)"
"2",2,2.5,1,"random",1,"71.4% (71.3,71.5)"
"3",3,2.5,1,"random",1,"62.3% (62.2,62.4)"
"4",4,2.5,1,"random",1,"54% (53.9,54.1)"
"5",5,2.5,1,"random",1,"48.6% (48.5,48.7)"
"6",7,2.5,1,"random",1,"38.5% (38.4,38.6)"
"7",10,2.5,1,"random",1,"28.6% (28.5,28.7)"
"8",15,2.5,1,"random",1,"17.2% (17.1,17.3)"
"9",20,2.5,1,"random",1,"13.8% (13.7,13.8)"
"10",25,2.5,1,"random",1,"11% (10.9,11)"
"11",30,2.5,1,"random",1,"8.6% (8.5,8.7)"
"12",1,2,1,"random",1,"83.4% (83.3,83.4)"
"13",2,2,1,"random",1,"72.7% (72.6,72.8)"
"14",3,2,1,"random",1,"63.9% (63.8,64)"
"15",4,2,1,"random",1,"56% (55.9,56.1)"
"16",5,2,1,"random",1,"50.4% (50.3,50.5)"
"17",7,2,1,"random",1,"40.2% (40.1,40.3)"
"18",10,2,1,"random",1,"30% (29.9,30.1)"
"19",15,2,1,"random",1,"17.6% (17.5,17.7)"
"20",20,2,1,"random",1,"13.9% (13.9,14)"
"21",25,2,1,"random",1,"10.9% (10.8,11)"
"22",30,2,1,"random",1,"8.6% (8.5,8.6)"
"23",1,1.5,1,"random",1,"85.5% (85.5,85.6)"
"24",2,1.5,1,"random",1,"75.6% (75.5,75.6)"
"25",3,1.5,1,"random",1,"67.7% (67.6,67.7)"
"26",4,1.5,1,"random",1,"59.3% (59.2,59.4)"
"27",5,1.5,1,"random",1,"54.2% (54.1,54.3)"
"28",7,1.5,1,"random",1,"43.6% (43.5,43.7)"
"29",10,1.5,1,"random",1,"31.8% (31.6,31.9)"
"30",15,1.5,1,"random",1,"18.3% (18.3,18.4)"
"31",20,1.5,1,"random",1,"14.5% (14.4,14.6)"
"32",25,1.5,1,"random",1,"11.5% (11.4,11.5)"
"33",30,1.5,1,"random",1,"9.1% (9,9.2)"
"34",1,1.5,1,"random",0.8,"81.6% (81.5,81.7)"
"35",2,1.5,1,"random",0.8,"69.6% (69.5,69.7)"
"36",3,1.5,1,"random",0.8,"60% (59.9,60.1)"
"37",4,1.5,1,"random",0.8,"50.3% (50.2,50.4)"
"38",5,1.5,1,"random",0.8,"44% (43.9,44.1)"
"39",7,1.5,1,"random",0.8,"32.1% (32,32.2)"
"40",10,1.5,1,"random",0.8,"22.4% (22.3,22.5)"
"41",15,1.5,1,"random",0.8,"13.3% (13.2,13.4)"
"42",20,1.5,1,"random",0.8,"10.4% (10.3,10.5)"
"43",25,1.5,1,"random",0.8,"8.2% (8.1,8.3)"
"44",30,1.5,1,"random",0.8,"6.4% (6.4,6.5)"
"45",1,1.5,3,"random",1,"60.4% (60.2,60.5)"
"46",2,1.5,3,"random",1,"49% (48.9,49.1)"
"47",3,1.5,3,"random",1,"42.5% (42.3,42.6)"
"48",4,1.5,3,"random",1,"36.5% (36.4,36.6)"
"49",5,1.5,3,"random",1,"31.5% (31.3,31.6)"
"50",7,1.5,3,"random",1,"22.4% (22.2,22.5)"
"51",10,1.5,3,"random",1,"13.8% (13.7,13.9)"
"52",15,1.5,3,"random",1,"6.4% (6.3,6.5)"
"53",20,1.5,3,"random",1,"4.6% (4.5,4.7)"
"54",25,1.5,3,"random",1,"3.6% (3.6,3.7)"
"55",30,1.5,3,"random",1,"2.7% (2.6,2.8)"
"56",1,1.5,5,"random",1,"31.5% (31.3,31.6)"
"57",2,1.5,5,"random",1,"23.4% (23.3,23.6)"
"58",3,1.5,5,"random",1,"19.1% (18.9,19.2)"
"59",4,1.5,5,"random",1,"14.9% (14.7,15)"
"60",5,1.5,5,"random",1,"10.9% (10.8,11.1)"
"61",7,1.5,5,"random",1,"5.5% (5.4,5.7)"
"62",10,1.5,5,"random",1,"1.7% (1.6,1.8)"
"63",15,1.5,5,"random",1,"0% (0,0)"
"64",20,1.5,5,"random",1,"0% (0,0)"
"65",25,1.5,5,"random",1,"0% (0,0)"
"66",30,1.5,5,"random",1,"0% (0,0)"
"67",1,1.5,0,"perfect",1,"99.3% (99.2,99.3)"
"68",2,1.5,0,"perfect",1,"95.2% (95.1,95.2)"
"69",3,1.5,0,"perfect",1,"89.7% (89.6,89.7)"
"70",4,1.5,0,"perfect",1,"84.8% (84.7,84.9)"
"71",5,1.5,0,"perfect",1,"78.4% (78.3,78.5)"
"72",7,1.5,0,"perfect",1,"68.7% (68.6,68.8)"
"73",10,1.5,0,"perfect",1,"61.8% (61.7,61.9)"
"74",15,1.5,0,"perfect",1,"43.7% (43.6,43.8)"
"75",20,1.5,0,"perfect",1,"44.6% (44.4,44.7)"
"76",25,1.5,0,"perfect",1,"42.5% (42.4,42.6)"
"77",30,1.5,0,"perfect",1,"32.7% (32.6,32.8)"
