"","asxEarly_1","asxLate_1","sxEarly_1","asxEarly_2","asxLate_2","sxEarly_2","asxEarly_3","asxLate_3","sxEarly_3","asxEarly_4","asxLate_4","sxEarly_4","asxEarly_5","asxLate_5","sxEarly_5","asxEarly_7","asxLate_7","sxEarly_7","asxEarly_10","asxLate_10","sxEarly_10","asxEarly_15","asxLate_15","sxEarly_15","asxEarly_20","asxLate_20","sxEarly_20","asxEarly_25","asxLate_25","sxEarly_25","asxEarly_30","asxLate_30","sxEarly_30","asxEarly_1000","asxLate_1000","sxEarly_1000"
"1",0,0,0,13,0,26,41,0,42,48,8,77,40,16,80,68,67,77,73,99,90,84,211,90,62,157,120,64,170,117,61,163,109,84,294,106
"2",0,0,0,16,0,26,45,0,56,65,0,84,58,8,89,84,29,97,88,70,101,112,142,97,107,140,108,123,206,100,106,163,107,123,246,116
"3",0,0,0,22,0,30,40,0,35,46,8,46,53,24,47,72,80,47,54,117,56,71,162,48,55,170,61,86,253,52,75,217,53,84,294,55
"4",0,0,0,19,0,33,46,0,64,46,10,73,54,19,69,58,45,85,62,124,102,57,153,113,84,228,97,80,222,104,83,257,92,78,270,116
"5",0,0,0,17,0,28,33,0,58,59,0,73,60,3,85,76,33,142,81,54,143,107,69,132,102,84,159,101,88,171,105,100,168,105,105,186
"6",0,0,0,16,0,29,44,0,55,62,0,80,82,9,108,76,35,136,92,66,159,93,87,148,115,122,139,100,107,159,89,98,178,106,140,183
"7",0,0,0,20,0,36,46,0,58,63,0,63,62,10,76,80,35,87,80,75,105,118,206,98,108,202,112,96,211,121,128,300,94,99,264,128
"8",0,0,0,17,0,21,23,0,57,45,6,62,53,18,77,58,41,84,45,54,99,71,133,85,76,196,84,57,141,122,86,233,95,74,222,106
"9",0,0,0,14,0,21,33,0,59,50,12,59,50,21,81,63,60,95,59,101,95,70,194,100,57,157,116,77,253,104,78,268,105,69,272,128
"10",0,0,0,15,0,40,38,0,42,68,0,81,58,5,119,80,39,126,139,163,118,105,149,146,81,169,192,80,152,187,91,181,185,120,280,177
"11",0,0,0,24,0,25,36,0,63,46,0,81,61,7,89,79,29,96,105,77,98,91,140,114,132,257,96,115,231,104,81,162,128,117,312,116
"12",0,0,0,16,0,30,21,7,36,30,32,34,26,46,36,22,49,50,36,118,40,41,269,43,39,275,53,38,283,52,44,337,50,33,291,60
"13",0,0,0,21,0,25,41,0,57,33,4,71,58,27,86,68,59,95,67,117,95,52,154,111,69,198,117,75,264,111,69,243,114,84,378,114
"14",0,0,0,16,0,31,39,0,53,44,10,56,38,24,85,59,52,71,65,89,98,71,129,91,55,101,106,71,121,102,81,139,91,78,156,104
