days_since_exposure,fnr_med,fnr_lb,fnr_ub,for_med,for_lb,for_ub,rr_med,rr_lb,rr_ub,abs_med,abs_lb,abs_ub
1,0.9999999999947788,0.9079689815974578,1,0.1124755987814613,0.08427297657913539,0.13808259499781841,4.600542169441724e-12,-4.440892098500626e-16,0.0828269319665333,5.274392034237962e-13,-4.163336342344337e-17,0.009025126940405703
2,0.9997660753637163,0.3023454099760866,0.99999995186476,0.11087083108050072,0.03595988030825682,0.13737503779844645,2.0943994674194055e-4,4.21982054715775e-8,0.6762930417460281,2.328692014213346e-5,4.914006951697858e-9,0.07817539379185068
3,0.9332002641166854,0.14394020384580306,0.9987358019500487,0.10177197652354975,0.01769659584951515,0.13298245395202643,0.05948120888910463,0.0011273478035799202,0.8394564658620849,0.006783822637953157,1.274341958129862e-4,0.09588793563521002
4,0.5511452963552091,0.10709040734218017,0.9069712898832488,0.06468526604463332,0.013120209717454482,0.1102857542743355,0.4192865149409413,0.08299119662302663,0.8791801627166214,0.04713555928414166,0.00912084002325225,0.1029776254463985
5,0.2874207554249633,0.0993747405426374,0.5624119826993165,0.03500905056248593,0.012140302757325833,0.06930788112062726,0.6875061222178382,0.40838878070881257,0.8891144933667666,0.0767246494598133,0.043696593576319366,0.10843139534791457
6,0.1964562112105181,0.09739237335223777,0.3412807749903946,0.024299399454984494,0.011777402113997757,0.04299179609496012,0.7840735738835706,0.6310979269526412,0.8916746878606436,0.08789597526001605,0.06570528887757354,0.11205919525036392
7,0.17108674455237005,0.0993802052968665,0.26939838219792517,0.021231474726531696,0.011813637124550186,0.03475796450758325,0.8111801572872908,0.7056789781936533,0.8894986316116589,0.0911523583976771,0.07112215663480581,0.11352003967415902
8,0.17135152552895638,0.1055558234375188,0.2589770056867309,0.02135502508438658,0.01249817923347933,0.033689579317037345,0.8110710637852327,0.7179227445727885,0.8825152014749887,0.09123500704470344,0.07164637678825302,0.11341557546748843
9,0.18600388996007283,0.11642217844869596,0.2734530026005225,0.0230940526429691,0.013800104825634405,0.03568068172034155,0.7951262344890829,0.7018625001348783,0.8702423450776109,0.08952758241118919,0.069939081255027985,0.11155063194515616
10,0.20970119868188575,0.13472751023671978,0.30301738169606607,0.026047447771265664,0.015865907187024863,0.03947981907247124,0.7695049477506917,0.6708400266333063,0.8501717465456754,0.08654972879838943,0.06730435253450351,0.10814586081341115
11,0.24105990883944245,0.15945872881700468,0.3406520279302938,0.02979506117765529,0.018405873704957304,0.044413026514907895,0.7363741360157015,0.6318123516374401,0.8242495105587202,0.08290825106268923,0.06390821060248034,0.10422908433241161
12,0.2783762384049282,0.18689902964361868,0.38412046710101755,0.034192691404968056,0.02161350797675345,0.04989423935727462,0.6972764508879359,0.587734986359716,0.7945372895022739,0.07849710740557787,0.059884719665141674,0.09962924975426968
13,0.31882473917550486,0.21980123971166304,0.4302976506211939,0.03897943865262554,0.02518507641444248,0.055602510707135316,0.6545012265874495,0.5406793659101556,0.7594372920317924,0.07362507224497959,0.05563272790321653,0.09447215577972269
14,0.36213630941828034,0.2565081328981405,0.4792990708762534,0.04399216023631547,0.029037850417532027,0.06163832460793269,0.6100099917712922,0.4915658888335063,0.7209343253765916,0.06854422569428421,0.05133168489887116,0.08926609546670945
15,0.4059043304468795,0.2949104165857933,0.5247148579013461,0.04906754096711402,0.03309921069513678,0.06756096937883799,0.5647827774525969,0.4461672697089105,0.6806389182745178,0.0635529733527416,0.04691680535928141,0.08370360316487911
16,0.4486346083274446,0.3324997279938821,0.5674663006125159,0.05397158218272602,0.03705878424917698,0.07329590286751449,0.5211588972607442,0.4039918069473621,0.6410098459219706,0.05866503480181383,0.042624531096908364,0.07825547602984773
17,0.4898355250206205,0.3687080831381274,0.6084054318176997,0.05857389195377516,0.04106849126998434,0.07849555138663819,0.4796915057598594,0.36499175642808157,0.6034323372954317,0.054036733308993154,0.03845321499560485,0.07304298537671833
18,0.5283591002721109,0.40485191691529177,0.6449521517652649,0.06288236331474656,0.04470313685444014,0.08327334023351997,0.44156248666961356,0.3287530598505697,0.566564844866368,0.0497073013238209,0.03502336097602218,0.0681830933184247
19,0.5635809045058122,0.43803816424670966,0.6767465454851077,0.06668167553288296,0.047860211725912497,0.08745483128308132,0.4073041120982293,0.2972834998024232,0.5311322083075717,0.045797025362995396,0.031760617351007187,0.06393112978027345
20,0.5953118812347931,0.47083695110068774,0.7064040553333952,0.07024981749553183,0.050919878660010166,0.09131227984923537,0.3762695266384155,0.2698937362855639,0.49818194447713404,0.0423123157675765,0.02898649588559259,0.06002281395120598
21,0.6229214473400041,0.5001590068186291,0.7312283927468417,0.07337032109465841,0.053584862483841256,0.09458469811807878,0.34928394539216945,0.24605977600645665,0.4699414740234617,0.039270309953307936,0.02647523658843607,0.05637964483428899
