day,lower,median,upper,infectiousness
1,0.38478627031159,0.5071912358106988,0.6308623636165491,0.03865988406525184
2,0.5751673120894297,0.6616496039311729,0.7469282930644444,0.07295442125251367
3,0.6042285299343688,0.7347649237596958,0.8368825331558049,0.10956796273225462
4,0.6155234376842047,0.7747410633817838,0.8882892498249676,0.1366502081930656
5,0.6348894174837345,0.7962735356826399,0.9079586959403192,0.14607295773483123
6,0.6587348185545047,0.8056807647473891,0.9075126461037585,0.13710897351455725
7,0.6834679901180627,0.8092811746611567,0.8985728749171851,0.11516211898644729
8,0.704796690799587,0.8114184033004661,0.8901432995814198,0.08787026156910514
9,0.7156263168387826,0.808536943707438,0.8807564076929753,0.06165347251679096
10,0.7081616738789862,0.7951065027155917,0.8663268294472861,0.04017936458595699
11,0.6773315422100534,0.7672988064049101,0.8438002753373904,0.024523953459443092
12,0.6289606007079148,0.7280936578412303,0.8142467770467411,0.014117375732441607
13,0.5715975028950201,0.6821728793368517,0.779767446556394,0.007710222654467385
14,0.5137909022938187,0.6342182932040746,0.742463395847405,0.004015417824874328
15,0.4640894524267604,0.5889117217551992,0.7044357369008305,0.0020028263763951985
16,0.42781632116489304,0.5494179480062747,0.6673786784696555,9.604002538687746e-4
17,0.3973927337736582,0.5128335977883473,0.6313588163945835,4.442191132484448e-4
18,0.36201442986709576,0.4747382576362118,0.5960358432882465,1.987665923279177e-4
19,0.3185037769834812,0.43428918950286677,0.5614577917590623,8.62598181359195e-5
20,0.2941896543580311,0.4049543570141223,0.5292260543985905,3.63902615751603e-5
21,0.2687716072531584,0.3770785526599961,0.49984099318137065,1.4954040373987708e-5
22,0.24394726983971182,0.34946898655478487,0.47051893746342954,5.996827439012118e-6
23,0.21912293242626535,0.32185942044957383,0.4411968817454882,2.3506456100014913e-6
24,0.19429859501281888,0.2942498543443628,0.4118748260275469,9.019839445495124e-7
25,0.1694742575993724,0.26664028823915176,0.38255277030960555,3.392650799852291e-7
