V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
114,100,111,123,134,130,128,129,123,120,134,112,115,126,121,125,119,133,111,136
127,128,153,169,206,188,193,197,189,178,182,165,143,186,135,177,198,188,135,187
199,162,220,214,243,244,218,227,225,211,220,241,169,242,202,237,221,219,167,211
200,181,232,228,283,249,278,268,269,202,279,229,222,234,269,255,257,250,206,260
244,182,262,248,327,347,278,279,360,262,271,259,295,246,253,329,312,280,170,280
287,200,328,247,383,359,310,313,313,267,295,272,308,339,294,340,354,318,240,351
271,216,319,288,419,466,365,385,414,263,339,278,333,344,373,369,427,366,293,341
414,227,363,304,484,514,366,427,564,315,376,263,372,366,484,389,453,431,278,378
413,259,441,307,506,478,399,383,497,296,379,291,405,352,379,441,456,387,393,423
355,288,475,320,565,482,382,443,548,328,412,303,430,417,486,423,484,499,358,402
453,230,477,325,511,550,410,440,589,326,409,317,403,378,426,447,486,466,337,441
469,252,471,314,566,581,417,501,660,311,444,311,418,393,456,452,502,480,352,481
