"","asxEarly_1","asxLate_1","sxEarly_1","asxEarly_2","asxLate_2","sxEarly_2","asxEarly_3","asxLate_3","sxEarly_3","asxEarly_4","asxLate_4","sxEarly_4","asxEarly_5","asxLate_5","sxEarly_5","asxEarly_7","asxLate_7","sxEarly_7","asxEarly_10","asxLate_10","sxEarly_10","asxEarly_15","asxLate_15","sxEarly_15","asxEarly_20","asxLate_20","sxEarly_20","asxEarly_25","asxLate_25","sxEarly_25","asxEarly_30","asxLate_30","sxEarly_30","asxEarly_1000","asxLate_1000","sxEarly_1000"
"1",40,0,53,56,0,62,52,9,80,63,32,91,63,32,94,74,78,90,87,180,98,70,165,118,90,265,100,86,245,109,88,300,109,66,264,132
"2",36,0,60,80,0,63,95,0,86,110,15,107,80,19,134,98,53,136,98,132,171,138,186,133,114,166,167,124,211,164,135,274,151,144,336,155
"3",43,0,54,66,0,58,50,4,91,76,41,84,70,54,93,73,77,105,58,144,118,81,260,108,86,256,103,69,233,120,97,292,100,84,336,114
"4",31,0,61,72,0,83,79,0,92,101,13,96,105,30,101,101,58,97,108,102,110,143,160,95,140,166,97,104,142,121,133,190,98,117,195,116
"5",46,0,49,42,0,65,73,14,68,65,31,85,70,37,89,76,98,100,82,139,107,86,264,98,67,223,125,81,281,110,77,280,117,76,342,120
"6",37,0,56,47,0,95,81,0,100,86,6,122,83,18,134,104,70,142,103,97,165,110,142,162,105,169,174,133,251,151,132,257,158,84,190,216
"7",34,0,42,53,0,43,41,9,47,59,25,40,60,44,47,44,42,55,63,71,52,64,79,44,58,84,52,56,70,46,82,110,43,58,87,46
"8",47,0,51,69,0,81,92,0,85,65,6,136,80,24,139,103,59,137,99,99,155,76,101,188,101,220,183,120,260,169,119,231,163,141,367,156
"9",33,0,52,55,0,52,57,10,80,64,25,89,66,45,97,60,66,100,62,104,118,81,159,102,87,211,98,77,200,112,81,220,105,78,231,116
"10",37,0,59,45,0,65,63,15,74,83,40,78,64,42,98,66,85,101,85,149,96,88,263,97,83,284,110,76,278,115,96,367,100,62,310,138
"11",33,0,58,61,0,92,78,0,106,85,8,106,119,33,97,107,67,110,110,111,106,97,124,120,110,148,120,114,190,117,100,169,123,105,210,124
"12",34,0,52,46,0,63,60,12,72,73,22,70,69,50,95,68,89,101,63,130,97,79,182,110,56,154,128,78,210,110,77,244,114,76,261,124
"13",44,0,51,56,0,95,85,0,101,83,8,125,116,38,117,111,53,154,111,102,147,120,172,155,124,254,160,133,261,148,110,234,180,126,336,174
"14",39,0,61,52,0,91,64,0,102,78,5,129,92,18,128,107,64,142,118,128,142,128,209,154,97,180,182,138,236,151,111,199,170,108,252,192
"15",33,0,52,46,0,59,67,11,73,47,23,106,57,38,104,84,96,83,73,126,113,64,165,115,80,254,110,64,207,125,92,314,100,88,352,106
"16",28,0,64,48,0,50,42,7,65,62,23,54,76,53,57,58,70,65,64,95,58,57,119,64,75,220,58,66,202,63,71,232,60,70,245,60
"17",37,0,50,48,0,49,55,8,76,75,32,81,54,29,99,58,79,111,64,108,115,65,137,116,71,171,114,81,253,107,78,211,108,66,225,132
"18",25,0,51,61,0,42,76,16,44,73,30,53,77,44,52,61,53,62,71,121,53,79,182,55,83,204,52,62,181,57,73,233,55,70,242,60
"19",33,0,53,59,0,51,69,16,75,67,29,87,82,55,78,71,85,101,66,108,108,66,193,112,78,204,112,92,278,101,76,222,112,70,244,121
"20",38,0,52,39,0,90,98,0,88,73,7,143,88,17,139,108,82,148,115,90,152,113,134,162,111,163,171,111,167,168,121,224,171,138,276,156
"21",37,0,55,68,0,51,51,11,89,68,28,82,70,37,93,76,92,94,68,141,112,72,148,119,90,246,100,85,238,102,75,227,119,72,250,124
"22",40,0,52,58,0,90,93,0,89,78,5,104,105,24,93,98,54,110,123,136,105,111,158,114,131,203,99,120,200,110,120,195,113,93,186,134
"23",23,0,0,27,17,20,25,26,32,22,33,29,32,59,25,16,49,35,34,129,35,29,121,38,31,140,37,31,137,41,29,133,45,29,145,40
"24",42,0,52,71,0,78,90,0,95,92,9,102,81,8,105,113,62,101,112,109,111,133,133,100,113,161,116,127,170,101,105,167,124,138,230,104
"25",45,0,51,62,0,54,64,13,88,57,19,105,52,26,100,73,89,98,70,129,104,71,210,110,89,294,97,90,305,98,56,209,132,80,360,116
"26",26,0,67,58,0,93,75,0,100,60,10,145,101,21,128,100,62,152,116,110,148,122,143,152,107,145,180,97,129,174,92,124,187,107,172,183
