"","test_freq","R0","delay","sensitivity","sens_multiplier"
"1",1,0.85542133704085,1,"median",1
"2",1,0.570196349607846,1,"median",1
"3",2,0.76648075301442,1,"median",1
"4",2,0.510181427765546,1,"median",1
"5",3,0.678746301692288,1,"median",1
"6",3,0.452313795425182,1,"median",1
"7",4,0.57956637667978,1,"median",1
"8",4,0.381671610285152,1,"median",1
"9",5,0.504666877737302,1,"median",1
"10",5,0.318963477881098,1,"median",1
"11",7,0.364879237929008,1,"median",1
"12",7,0.200862555274508,1,"median",1
"13",10,0.227827161199282,1,"median",1
"14",10,0.102815132931778,1,"median",1
"15",15,0.122628696522984,1,"median",1
"16",15,0.0316998162065761,1,"median",1
"17",20,0.089899732421874,1,"median",1
"18",20,0.0191800265681579,1,"median",1
"19",25,0.076887485747078,1,"median",1
"20",25,0.0113551580441461,1,"median",1
"21",30,0.0603118667945,1,"median",1
"22",30,0.00691500009098803,1,"median",1
"23",1,0.757265437289177,1,"median",1
"24",1,0.5665011810866,1,"median",1
"25",2,0.646676316240453,1,"median",1
"26",2,0.4702626416303,1,"median",1
"27",3,0.587148444766635,1,"median",1
"28",3,0.421287584577812,1,"median",1
"29",4,0.491426700363793,1,"median",1
"30",4,0.351113023982064,1,"median",1
"31",5,0.425847699356939,1,"median",1
"32",5,0.293640148937022,1,"median",1
"33",7,0.305032185955791,1,"median",1
"34",7,0.193077631420907,1,"median",1
"35",10,0.191939048262384,1,"median",1
"36",10,0.096809064339192,1,"median",1
"37",15,0.0937831042193265,1,"median",1
"38",15,0.0296372662849816,1,"median",1
"39",20,0.073564255544973,1,"median",1
"40",20,0.0169956359851064,1,"median",1
"41",25,0.0533044814578275,1,"median",1
"42",25,0.00927853625335359,1,"median",1
"43",30,0.0379434541892535,1,"median",1
"44",30,0.00678624334387642,1,"median",1
"45",1,1.01929080222998,1,"median",1
"46",1,0.648348240190488,1,"median",1
"47",2,0.871187762243643,1,"median",1
"48",2,0.540048422274247,1,"median",1
"49",3,0.768971235953155,1,"median",1
"50",3,0.470966644656542,1,"median",1
"51",4,0.65653851537468,1,"median",1
"52",4,0.393981231366428,1,"median",1
"53",5,0.568684594270535,1,"median",1
"54",5,0.331902675230605,1,"median",1
"55",7,0.409424991215185,1,"median",1
"56",7,0.213448186165635,1,"median",1
"57",10,0.273489203156208,1,"median",1
"58",10,0.113652280048823,1,"median",1
"59",15,0.139852460824257,1,"median",1
"60",15,0.0359165215999351,1,"median",1
"61",20,0.108653389068245,1,"median",1
"62",20,0.0205594573503799,1,"median",1
"63",25,0.0799596156079275,1,"median",1
"64",25,0.0114052464133501,1,"median",1
"65",30,0.0727642140992,1,"median",1
"66",30,0.00930427996878507,1,"median",1
"67",1,0.0065485618020314,0,"perfect",1
"68",1,0.00895755681135007,0,"perfect",1
"69",2,0,0,"perfect",1
"70",2,0.00363712877239358,0,"perfect",1
"71",3,0,0,"perfect",1
"72",3,0.0012624744499216,0,"perfect",1
"73",4,0,0,"perfect",1
"74",4,3.00589154744557e-05,0,"perfect",1
"75",5,0,0,"perfect",1
"76",5,0,0,"perfect",1
"77",7,0,0,"perfect",1
"78",7,0,0,"perfect",1
"79",10,0,0,"perfect",1
"80",10,0,0,"perfect",1
"81",15,0,0,"perfect",1
"82",15,0,0,"perfect",1
"83",20,0,0,"perfect",1
"84",20,0,0,"perfect",1
"85",25,0,0,"perfect",1
"86",25,0,0,"perfect",1
"87",30,0,0,"perfect",1
"88",30,0,0,"perfect",1
"89",1,0.731949834297606,0,"median",0.8
"90",1,0.510429638854296,0,"median",0.8
"91",2,0.646487040202316,0,"median",0.8
"92",2,0.446417452410603,0,"median",0.8
"93",3,0.533832317474401,0,"median",0.8
"94",3,0.354452054794521,0,"median",0.8
"95",4,0.459137648454365,0,"median",0.8
"96",4,0.295343355274863,0,"median",0.8
"97",5,0.358751241133697,0,"median",0.8
"98",5,0.20851494396015,0,"median",0.8
"99",7,0.240133946599062,0,"median",0.8
"100",7,0.115348692403487,0,"median",0.8
"101",10,0.158885352065587,0,"median",0.8
"102",10,0.0560064935064931,0,"median",0.8
"103",15,0.083088576799455,0,"median",0.8
"104",15,0.0172789539227895,0,"median",0.8
"105",20,0.0647090841814124,0,"median",0.8
"106",20,0.00923990393168552,0,"median",0.8
"107",25,0.0484910403098475,0,"median",0.8
"108",25,0.00710505248176496,0,"median",0.8
"109",30,0.0384314580421844,0,"median",0.8
"110",30,0.0044364881693641,0,"median",0.8
"111",1,0.586108782083926,3,"median",1
"112",1,0.446727054348913,3,"median",1
"113",2,0.474214924672259,3,"median",1
"114",2,0.353755880292262,3,"median",1
"115",3,0.391093805349156,3,"median",1
"116",3,0.284468521669503,3,"median",1
"117",4,0.326446619741329,3,"median",1
"118",4,0.231433289960965,3,"median",1
"119",5,0.26252422819985,3,"median",1
"120",5,0.18162596336703,3,"median",1
"121",7,0.176912048644482,3,"median",1
"122",7,0.108735361825642,3,"median",1
"123",10,0.0972989754870421,3,"median",1
"124",10,0.0490191172054845,3,"median",1
"125",15,0.05639139089169,3,"median",1
"126",15,0.0195926333700329,3,"median",1
"127",20,0.039627777210387,3,"median",1
"128",20,0.00878290461415204,3,"median",1
"129",25,0.030862687993884,3,"median",1
"130",25,0.00623060754679202,3,"median",1
"131",30,0.0232071339121605,3,"median",1
"132",30,0.0033780402362131,3,"median",1
"133",1,0.3955227215067,5,"median",1
"134",1,0.311235083681486,5,"median",1
"135",2,0.291005164520521,5,"median",1
"136",2,0.220911615340355,5,"median",1
"137",3,0.246994735250091,5,"median",1
"138",3,0.186988717384234,5,"median",1
"139",4,0.195582558245408,5,"median",1
"140",4,0.140232156705777,5,"median",1
"141",5,0.15456264422688,5,"median",1
"142",5,0.108260575888725,5,"median",1
"143",7,0.0934825344518505,5,"median",1
"144",7,0.0549370825307086,5,"median",1
"145",10,0.0499049227431164,5,"median",1
"146",10,0.0250293948415186,5,"median",1
"147",15,0.0285939958831664,5,"median",1
"148",15,0.00956895904735653,5,"median",1
"149",20,0.0201313369528334,5,"median",1
"150",20,0.00491581817727003,5,"median",1
"151",25,0.015514058140662,5,"median",1
"152",25,0.00382758361894346,5,"median",1
"153",30,0.0139607445073846,5,"median",1
"154",30,0.00221399444625156,5,"median",1
