"","test_freq","delay","sensitivity","sens_multiplier","R0","R0_base","R0.upper","R0.lower","R0.Q3","R0.Q1","R0.Min","R0.Max"
"1",1,1,"random",1,0.485024931572627,2.5,0.488914094567258,0.481135768577997,0.231376516039472,0.701913772400853,1.6096725781449,0
"2",2,1,"random",1,0.78798865091891,2.5,0.792307190067643,0.78367011177018,0.443588837784283,1.10588550877551,2.05483497875418,0
"3",3,1,"random",1,1.02743349952499,2.5,1.03204768479519,1.02281931425478,0.6339859197035,1.39619401078939,2.3659736798704,0
"4",4,1,"random",1,1.21274514955386,2.5,1.21763683619839,1.20785346290933,0.7570569262186,1.65360570182225,2.5,0
"5",5,1,"random",1,1.37233013131477,2.5,1.37738985321632,1.36727040941321,0.885174046848698,1.84699328652797,2.5,0
"6",7,1,"random",1,1.57238191836606,2.5,1.57754756487007,1.56721627186206,1.10689117652265,2.06698616919881,2.5,0
"7",10,1,"random",1,1.80757223105314,2.5,1.81272713412024,1.80241732798604,1.35190770673589,2.28510751057599,2.5,0
"8",15,1,"random",1,2.08675657150554,2.5,2.09177861394186,2.08173452906923,1.69640316992281,2.5,2.5,0
"9",20,1,"random",1,2.17955558625804,2.5,2.18453287569438,2.1745782968217,1.81139800225044,2.5,2.5,0
"10",25,1,"random",1,2.23208023724631,2.5,2.23699660016639,2.22716387432623,1.87851010796598,2.5,2.5,0
"11",30,1,"random",1,2.30631063938814,2.5,2.31123674154667,2.30138453722961,1.94569665349629,2.5,2.5,0
"12",1,1,"random",1,0.36283454942877,2,0.366149878191648,0.359519220665894,0.162214524459226,0.5305336977202,1.41885439512003,0
"13",2,1,"random",1,0.590138659072508,2,0.593780017867796,0.58649730027722,0.312193667445536,0.847096944363928,1.58489610697418,0
"14",3,1,"random",1,0.778025280070538,2,0.781962101586078,0.774088458555,0.439406449073904,1.0901343028091,1.98444446861953,0
"15",4,1,"random",1,0.925206315245272,2,0.92936830501847,0.921044325472072,0.54637264846387,1.2917982645416,2,0
"16",5,1,"random",1,1.04925523203065,2,1.05350895418538,1.04500150987593,0.670405408879068,1.43679251429879,2,0
"17",7,1,"random",1,1.24718309752053,2,1.25161275164265,1.24275344339841,0.836035717770316,1.65495991240255,2,0
"18",10,1,"random",1,1.42243274853642,2,1.42694449552623,1.41792100154662,1.04199808465399,1.84274251767298,2,0
"19",15,1,"random",1,1.63373776137094,2,1.63807413240923,1.62940139033266,1.3134889112509,2,2,0
"20",20,1,"random",1,1.69682230690504,2,1.70106795731221,1.69257665649788,1.39521678677519,2,2,0
"21",25,1,"random",1,1.75728390126616,2,1.76148502864224,1.75308277389008,1.45117843881664,2,2,0
"22",30,1,"random",1,1.81612182407248,2,1.82030386320135,1.81193978494361,1.52979822700852,2,2,0
"23",1,1,"random",1,0.23762771837839,1.5,0.23999190007341,0.235263536683371,0.0998919301928521,0.350270769195394,0.964012884733461,0
"24",2,1,"random",1,0.403844761730373,1.5,0.406504331503978,0.401185191956769,0.199601846920464,0.584239033363261,1.25226076535547,0
"25",3,1,"random",1,0.530797503753189,1.5,0.533670008538451,0.527924998967928,0.278179097791612,0.75787815320306,1.4431650515274,0
"26",4,1,"random",1,0.669671236970712,1.5,0.672755623936932,0.666586850004492,0.384581205598938,0.93448004495832,1.5,0
"27",5,1,"random",1,0.747252688793931,1.5,0.75047924252847,0.744026135059392,0.439662699892512,1.0390869339752,1.5,0
"28",7,1,"random",1,0.901443123544233,1.5,0.904795474523481,0.898090772564986,0.582416415732609,1.22612460948518,1.5,0
"29",10,1,"random",1,1.03410300172402,1.5,1.0374476920987,1.03075831134935,0.72524703020206,1.3547272175555,1.5,0
"30",15,1,"random",1,1.22891418589504,1.5,1.23208629307472,1.22574207871536,0.974858106987198,1.5,1.5,0
"31",20,1,"random",1,1.30234417618263,1.5,1.30542577173683,1.29926258062843,1.08796906899816,1.5,1.5,0
"32",25,1,"random",1,1.31355880644861,1.5,1.31667240414421,1.310445208753,1.08457070703893,1.5,1.5,0
"33",30,1,"random",1,1.35272842461161,1.5,1.35578350404579,1.34967334517743,1.13347639214636,1.5,1.5,0
"34",1,0,"perfect",1,0.018903459967293,1.5,0.0209876097453645,0.0168193101892216,0,0.00448005974810698,0.371620975184091,0
"35",2,0,"perfect",1,0.0861069854799945,1.5,0.0882277330679069,0.083986237892082,0.0249520733563019,0.125487587191853,0.515856744142641,0
