"","test_freq","delay","sensitivity","sens_multiplier","Rc","Rc.upper","Rc.lower","Rc.Q3","Rc.Q1","Rc.Min","Rc.Max","R0","R0_base"
"1",1,1,"random",1,0.449712305070005,0.45374000881748,0.445684601322532,0.194548431142518,0.670334692688262,1.55414455277723,0,2.5,2.5
"2",2,1,"random",1,0.750246826345615,0.75479156723969,0.74570208545154,0.370376842442722,1.08332227918186,2.04838042236547,0,2.5,2.5
"3",3,1,"random",1,1.0027747391313,1.00769317694793,0.997856301314668,0.568732274973115,1.43341902519306,2.3346869874191,0,2.5,2.5
"4",4,1,"random",1,1.19901709005456,1.20426087703978,1.19377330306935,0.709900474116112,1.68179516132192,2.5,0,2.5,2.5
"5",5,1,"random",1,1.37472586171854,1.38019083228865,1.36926089114843,0.847786886486767,1.91085855798573,2.5,0,2.5,2.5
"6",7,1,"random",1,1.57648486122303,1.58202490104621,1.57094482139983,1.05874917513455,2.12189017850056,2.5,0,2.5,2.5
"7",10,1,"random",1,1.82886082159184,1.83437314548695,1.82334849769672,1.36509064891884,2.34492064058993,2.5,0,2.5,2.5
"8",15,1,"random",1,2.08359886902724,2.08876477665361,2.07843296140087,1.71190125727733,2.5,2.5,0,2.5,2.5
"9",20,1,"random",1,2.17644013730162,2.18159530048693,2.17128497411632,1.80357666551445,2.5,2.5,0,2.5,2.5
"10",25,1,"random",1,2.24727921571099,2.25240339492404,2.24215503649794,1.89053942602668,2.5,2.5,0,2.5,2.5
"11",30,1,"random",1,2.27267713448888,2.2777567763174,2.26759749266036,1.89704341006292,2.5,2.5,0,2.5,2.5
"12",1,1,"random",1,0.3276938717514,0.331254603040322,0.324133140462478,0.13253139222383,0.487754093764332,1.25223124425017,0,2,2
"13",2,1,"random",1,0.581017092802414,0.585081581284322,0.576952604320504,0.26187036209739,0.86998542813229,1.72882857313549,0,2,2
"14",3,1,"random",1,0.769767747125916,0.774182535031256,0.765352959220576,0.396235610510054,1.11902764675609,1.95092564503222,0,2,2
"15",4,1,"random",1,0.950597284226666,0.955272813936848,0.945921754516486,0.522800605844508,1.35227326703309,2,0,2,2
"16",5,1,"random",1,1.02173183104375,1.0266058074233,1.01685785466419,0.578112368623648,1.4511025887406,2,0,2,2
"17",7,1,"random",1,1.22121213521833,1.22618494745582,1.21623932298084,0.774940792788888,1.69304617099254,2,0,2,2
"18",10,1,"random",1,1.447114251654,1.4519912380353,1.4422372652727,1.10002753143384,1.84879995196214,2,0,2,2
"19",15,1,"random",1,1.64688219795481,1.65159366420911,1.64217073170051,1.36079431948627,2,2,0,2,2
"20",20,1,"random",1,1.70611907099339,1.71082017019632,1.70141797179045,1.41105007135963,2,2,0,2,2
"21",25,1,"random",1,1.77074559200354,1.77538011465062,1.76611106935645,1.46844488540993,2,2,0,2,2
"22",30,1,"random",1,1.81138311972501,1.815999799649,1.80676643980103,1.52230684743383,2,2,0,2,2
"23",1,1,"random",1,0.226911710233508,0.229528347805265,0.224295072661751,0.077712099832647,0.340110027898278,0.944110852307483,0,1.5,1.5
"24",2,1,"random",1,0.393980247708062,0.396941666446359,0.391018828969764,0.144934905021554,0.599540221880007,1.21058155636,0,1.5,1.5
"25",3,1,"random",1,0.522940609563231,0.526148308471231,0.519732910655232,0.235591097924779,0.792312460818371,1.38598549867585,0,1.5,1.5
"26",4,1,"random",1,0.671104654766656,0.674579541729599,0.667629767803714,0.339715731026914,0.99603116138595,1.5,0,1.5,1.5
"27",5,1,"random",1,0.740510897976015,0.744138480441683,0.736883315510347,0.372695522608443,1.08398468783518,1.5,0,1.5,1.5
"28",7,1,"random",1,0.923920620684384,0.927620898882375,0.920220342486393,0.602997368793575,1.27369687677789,1.5,0,1.5,1.5
"29",10,1,"random",1,1.07467290370994,1.07832426758184,1.07102153983805,0.820714905072343,1.40303303189074,1.5,0,1.5,1.5
"30",15,1,"random",1,1.2284424620229,1.2319842552297,1.2249006688161,1.01113084588939,1.5,1.5,0,1.5,1.5
"31",20,1,"random",1,1.2810839058111,1.28454432318158,1.27762348844062,1.02961393789699,1.5,1.5,0,1.5,1.5
"32",25,1,"random",1,1.33033000274257,1.33380830219728,1.32685170328785,1.10751908006958,1.5,1.5,0,1.5,1.5
"33",30,1,"random",1,1.35969513904997,1.36313755841382,1.35625271968612,1.15302251549628,1.5,1.5,0,1.5,1.5
"34",1,1,"random",0.8,0.275012114769218,0.277609252711246,0.272414976827187,0.0987213058809735,0.414540705015241,1.05783759466966,0,1.5,1.5
"35",2,1,"random",0.8,0.488660717418917,0.491686859763091,0.485634575074743,0.22176256006872,0.71955310337854,1.39861753507118,0,1.5,1.5
"36",3,1,"random",0.8,0.67590494723627,0.679262504945891,0.672547389526648,0.352594312242763,0.98048756230977,1.5,0,1.5,1.5
"37",4,1,"random",0.8,0.796898620585544,0.800453001338113,0.793344239832972,0.449537910493771,1.15022130585153,1.5,0,1.5,1.5
"38",5,1,"random",0.8,0.885353747333916,0.888907480880038,0.881800013787793,0.562113415414694,1.22518352874961,1.5,0,1.5,1.5
"39",7,1,"random",0.8,1.03446740976455,1.03803552922721,1.0308992903019,0.764848527437359,1.35716031274548,1.5,0,1.5,1.5
"40",10,1,"random",0.8,1.15930341258409,1.16278766739419,1.15581915777398,0.91589205797629,1.46041908372227,1.5,0,1.5,1.5
"41",15,1,"random",0.8,1.30119423393647,1.30443822529399,1.29795024257895,1.10393881306365,1.5,1.5,0,1.5,1.5
"42",20,1,"random",0.8,1.3340811808941,1.33728152172774,1.33088084006045,1.11394382692528,1.5,1.5,0,1.5,1.5
"43",25,1,"random",0.8,1.36635436602961,1.36960810719882,1.3631006248604,1.15271260294242,1.5,1.5,0,1.5,1.5
"44",30,1,"random",0.8,1.39175432109899,1.39494511474344,1.38856352745454,1.1779174850265,1.5,1.5,0,1.5,1.5
"45",1,3,"random",1,0.680541184375034,0.684250313111788,0.676832055638278,0.287462730853533,1.0548387952827,1.5,0,1.5,1.5
"46",2,3,"random",1,0.835079709467431,0.839028767633139,0.831130651301724,0.415615992321171,1.24425760673123,1.5,0,1.5,1.5
"47",3,3,"random",1,0.956614289265153,0.960762631621642,0.952465946908663,0.500138783574156,1.41930039993355,1.5,0,1.5,1.5
"48",4,3,"random",1,1.07019375229775,1.07438046896424,1.06600703563127,0.65049525179277,1.5,1.5,0,1.5,1.5
"49",5,3,"random",1,1.11870354202937,1.12288996659763,1.1145171174611,0.717315663249397,1.5,1.5,0,1.5,1.5
"50",7,3,"random",1,1.20520890787498,1.20926166127613,1.20115615447383,0.876703458071301,1.5,1.5,0,1.5,1.5
"51",10,3,"random",1,1.32686893960804,1.33067809925829,1.3230597799578,1.0778599268947,1.5,1.5,0,1.5,1.5
"52",15,3,"random",1,1.40342902088068,1.40689684572538,1.39996119603598,1.19586441526978,1.5,1.5,0,1.5,1.5
"53",20,3,"random",1,1.4208490194889,1.42422630998756,1.41747172899024,1.21302793530146,1.5,1.5,0,1.5,1.5
"54",25,3,"random",1,1.4459761131998,1.44929121531798,1.44266101108161,1.24246978704849,1.5,1.5,0,1.5,1.5
"55",30,3,"random",1,1.47475361708027,1.47801248318654,1.47149475097399,1.27593425270394,1.5,1.5,0,1.5,1.5
"56",1,5,"random",1,1.12561737664333,1.12981180512884,1.12142294815783,0.660690234310545,1.5,1.5,0,1.5,1.5
"57",2,5,"random",1,1.24027666667381,1.24457670839295,1.23597662495467,0.78249063617853,1.5,1.5,0,1.5,1.5
