"","test_freq","R0","delay","sensitivity","sens_multiplier","CI"
"1",1,2.5,1,"random",1,"80.4% (80.2,80.6)"
"2",2,2.5,1,"random",1,"68.7% (68.4,68.9)"
"3",3,2.5,1,"random",1,"60% (59.7,60.2)"
"4",4,2.5,1,"random",1,"53.1% (52.8,53.3)"
"5",5,2.5,1,"random",1,"46.3% (46.1,46.6)"
"6",7,2.5,1,"random",1,"39.1% (38.8,39.4)"
"7",10,2.5,1,"random",1,"29.8% (29.5,30.1)"
"8",15,2.5,1,"random",1,"16.9% (16.6,17.2)"
"9",20,2.5,1,"random",1,"13.5% (13.2,13.8)"
"10",25,2.5,1,"random",1,"10.6% (10.4,10.9)"
"11",30,2.5,1,"random",1,"7.1% (6.8,7.4)"
"12",1,2,1,"random",1,"82% (81.8,82.2)"
"13",2,2,1,"random",1,"71.4% (71.1,71.6)"
"14",3,2,1,"random",1,"62.5% (62.2,62.7)"
"15",4,2,1,"random",1,"55% (54.7,55.2)"
"16",5,2,1,"random",1,"49.3% (49,49.6)"
"17",7,2,1,"random",1,"40.4% (40.1,40.7)"
"18",10,2,1,"random",1,"30.2% (29.9,30.5)"
"19",15,2,1,"random",1,"18.8% (18.5,19.1)"
"20",20,2,1,"random",1,"15.8% (15.6,16.1)"
"21",25,2,1,"random",1,"12.9% (12.6,13.2)"
"22",30,2,1,"random",1,"8.9% (8.6,9.2)"
"23",1,1.5,1,"random",1,"84.1% (83.9,84.4)"
"24",2,1.5,1,"random",1,"74.3% (74,74.6)"
"25",3,1.5,1,"random",1,"66.6% (66.3,66.9)"
"26",4,1.5,1,"random",1,"58.1% (57.8,58.4)"
"27",5,1.5,1,"random",1,"53% (52.7,53.3)"
"28",7,1.5,1,"random",1,"42.2% (41.9,42.6)"
"29",10,1.5,1,"random",1,"33.9% (33.6,34.3)"
"30",15,1.5,1,"random",1,"19.4% (19.1,19.7)"
"31",20,1.5,1,"random",1,"13.4% (13.1,13.7)"
"32",25,1.5,1,"random",1,"13.7% (13.4,14)"
"33",30,1.5,1,"random",1,"10.7% (10.4,11)"
"34",1,1.5,0,"perfect",1,"98.7% (98.5,98.9)"
"35",2,1.5,0,"perfect",1,"94% (93.8,94.2)"
"36",3,1.5,0,"perfect",1,"88.1% (87.9,88.4)"
"37",4,1.5,0,"perfect",1,"83.9% (83.7,84.1)"
"38",5,1.5,0,"perfect",1,"76.5% (76.2,76.7)"
"39",7,1.5,0,"perfect",1,"67% (66.7,67.2)"
"40",10,1.5,0,"perfect",1,"60.9% (60.6,61.2)"
"41",15,1.5,0,"perfect",1,"44.3% (44,44.6)"
"42",20,1.5,0,"perfect",1,"44.7% (44.4,45)"
"43",25,1.5,0,"perfect",1,"43% (42.7,43.2)"
"44",30,1.5,0,"perfect",1,"33.4% (33.1,33.7)"
"45",1,1.5,1,"random",0.8,"80.5% (80.3,80.8)"
"46",2,1.5,1,"random",0.8,"67.6% (67.3,67.8)"
"47",3,1.5,1,"random",0.8,"58.7% (58.4,59)"
"48",4,1.5,1,"random",0.8,"49.1% (48.7,49.4)"
"49",5,1.5,1,"random",0.8,"45.2% (44.9,45.6)"
"50",7,1.5,1,"random",0.8,"33.3% (33,33.6)"
"51",10,1.5,1,"random",0.8,"23.3% (23,23.6)"
"52",15,1.5,1,"random",0.8,"14.3% (14,14.6)"
"53",20,1.5,1,"random",0.8,"11.7% (11.4,12)"
"54",25,1.5,1,"random",0.8,"9.2% (8.9,9.5)"
"55",30,1.5,1,"random",0.8,"7.2% (6.9,7.5)"
"56",1,1.5,3,"random",1,"57.8% (57.5,58.1)"
"57",2,1.5,3,"random",1,"47.8% (47.5,48.1)"
"58",3,1.5,3,"random",1,"40.4% (40.1,40.7)"
"59",4,1.5,3,"random",1,"35.6% (35.3,36)"
"60",5,1.5,3,"random",1,"32.1% (31.7,32.4)"
"61",7,1.5,3,"random",1,"27.1% (26.8,27.5)"
"62",10,1.5,3,"random",1,"15.3% (14.9,15.6)"
"63",15,1.5,3,"random",1,"7.6% (7.3,7.9)"
"64",20,1.5,3,"random",1,"6.1% (5.8,6.5)"
"65",25,1.5,3,"random",1,"3.9% (3.6,4.2)"
"66",30,1.5,3,"random",1,"2.7% (2.4,3)"
"67",1,1.5,5,"random",1,"32% (31.6,32.3)"
"68",2,1.5,5,"random",1,"24.5% (24.1,24.9)"
"69",3,1.5,5,"random",1,"21.2% (20.8,21.6)"
"70",4,1.5,5,"random",1,"18.1% (17.7,18.5)"
"71",5,1.5,5,"random",1,"15.4% (15.1,15.8)"
"72",7,1.5,5,"random",1,"8.8% (8.4,9.1)"
"73",10,1.5,5,"random",1,"5.4% (5.1,5.7)"
"74",15,1.5,5,"random",1,"0.1% (0,0.4)"
"75",20,1.5,5,"random",1,"0% (0,0.3)"
"76",25,1.5,5,"random",1,"0% (0,0.2)"
"77",30,1.5,5,"random",1,"0% (0,0)"
