"","test_freq","R0","delay","sensitivity","sens_multiplier","CI"
"1",1,2.5,1,"random",1,"90.1% (89.8,90.5)"
"2",2,2.5,1,"random",1,"80.1% (79.7,80.5)"
"3",3,2.5,1,"random",1,"72.2% (71.8,72.5)"
"4",4,2.5,1,"random",1,"63.1% (62.7,63.6)"
"5",5,2.5,1,"random",1,"54.6% (54.1,55)"
"6",7,2.5,1,"random",1,"44% (43.5,44.4)"
"7",10,2.5,1,"random",1,"32.5% (32.1,33)"
"8",15,2.5,1,"random",1,"22.9% (22.4,23.3)"
"9",20,2.5,1,"random",1,"16.6% (16.1,17.1)"
"10",25,2.5,1,"random",1,"15% (14.5,15.4)"
"11",30,2.5,1,"random",1,"7.8% (7.3,8.2)"
"12",1,2,1,"random",1,"91.1% (90.7,91.4)"
"13",2,2,1,"random",1,"81.9% (81.5,82.4)"
"14",3,2,1,"random",1,"72.1% (71.7,72.6)"
"15",4,2,1,"random",1,"64.1% (63.6,64.6)"
"16",5,2,1,"random",1,"57.5% (57,58)"
"17",7,2,1,"random",1,"47% (46.5,47.5)"
"18",10,2,1,"random",1,"36.4% (35.9,36.9)"
"19",15,2,1,"random",1,"25% (24.4,25.5)"
"20",20,2,1,"random",1,"17.2% (16.7,17.8)"
"21",25,2,1,"random",1,"13.4% (12.9,13.9)"
"22",30,2,1,"random",1,"11.9% (11.4,12.5)"
"23",1,1.5,1,"random",1,"92.4% (91.8,92.9)"
"24",2,1.5,1,"random",1,"84.5% (83.9,85)"
"25",3,1.5,1,"random",1,"76.4% (75.8,77)"
"26",4,1.5,1,"random",1,"68.8% (68.2,69.4)"
"27",5,1.5,1,"random",1,"61.5% (60.9,62.1)"
"28",7,1.5,1,"random",1,"50.5% (49.8,51.2)"
"29",10,1.5,1,"random",1,"39.8% (39.2,40.5)"
"30",15,1.5,1,"random",1,"24.4% (23.7,25.1)"
"31",20,1.5,1,"random",1,"19.7% (19,20.5)"
"32",25,1.5,1,"random",1,"17% (16.3,17.7)"
"33",30,1.5,1,"random",1,"13.7% (13,14.4)"
"34",1,1.5,1,"random",0.8,"88.3% (87.7,88.9)"
"35",2,1.5,1,"random",0.8,"78.5% (77.9,79.1)"
"36",3,1.5,1,"random",0.8,"67.6% (67,68.3)"
"37",4,1.5,1,"random",0.8,"59.3% (58.6,60)"
"38",5,1.5,1,"random",0.8,"48.9% (48.2,49.6)"
"39",7,1.5,1,"random",0.8,"37.4% (36.7,38.2)"
"40",10,1.5,1,"random",0.8,"29.6% (28.8,30.3)"
"41",15,1.5,1,"random",0.8,"20% (19.2,20.8)"
"42",20,1.5,1,"random",0.8,"14.2% (13.4,15)"
"43",25,1.5,1,"random",0.8,"9.4% (8.6,10.2)"
"44",30,1.5,1,"random",0.8,"9.6% (8.8,10.4)"
"45",1,1.5,3,"random",1,"69.2% (68.6,69.9)"
"46",2,1.5,3,"random",1,"57.4% (56.7,58.1)"
"47",3,1.5,3,"random",1,"51.2% (50.5,52)"
"48",4,1.5,3,"random",1,"42.8% (42,43.5)"
"49",5,1.5,3,"random",1,"34.3% (33.5,35)"
"50",7,1.5,3,"random",1,"30.3% (29.5,31.1)"
"51",10,1.5,3,"random",1,"23.8% (23,24.6)"
"52",15,1.5,3,"random",1,"11.5% (10.7,12.3)"
"53",20,1.5,3,"random",1,"11.1% (10.3,11.9)"
"54",25,1.5,3,"random",1,"6.8% (6,7.6)"
"55",30,1.5,3,"random",1,"8.5% (7.8,9.3)"
"56",1,1.5,5,"random",1,"33.3% (32.5,34.2)"
"57",2,1.5,5,"random",1,"27.9% (27.1,28.8)"
"58",3,1.5,5,"random",1,"21.3% (20.4,22.2)"
"59",4,1.5,5,"random",1,"18.9% (18,19.8)"
"60",5,1.5,5,"random",1,"12.3% (11.4,13.2)"
"61",7,1.5,5,"random",1,"6.3% (5.4,7.2)"
"62",10,1.5,5,"random",1,"5.9% (5,6.8)"
"63",15,1.5,5,"random",1,"3% (2.1,3.9)"
"64",20,1.5,5,"random",1,"1.9% (1.1,2.8)"
"65",25,1.5,5,"random",1,"2.1% (1.3,3)"
"66",30,1.5,5,"random",1,"0% (0,0.2)"
"67",1,1.5,0,"perfect",1,"99.4% (98.9,100)"
"68",2,1.5,0,"perfect",1,"97.8% (97.2,98.3)"
"69",3,1.5,0,"perfect",1,"94.9% (94.4,95.4)"
"70",4,1.5,0,"perfect",1,"91.5% (91,92.1)"
"71",5,1.5,0,"perfect",1,"88.2% (87.6,88.7)"
"72",7,1.5,0,"perfect",1,"79.8% (79.2,80.4)"
"73",10,1.5,0,"perfect",1,"73.2% (72.6,73.9)"
"74",15,1.5,0,"perfect",1,"50.5% (49.9,51.2)"
"75",20,1.5,0,"perfect",1,"55% (54.3,55.7)"
"76",25,1.5,0,"perfect",1,"52% (51.3,52.7)"
"77",30,1.5,0,"perfect",1,"39.5% (38.8,40.1)"
