"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"1","1","Infectiousness","1.28","1","random","1","80.6197064323735","80.1773892280717","100","90.0712625695665","81.5786439202636","80.3985478302226","71.6901532195839","39.0034166279904",2.5
"2","1","nInfected","1.28","1","random","1","25.1936804488918","24.8667078631788","100","31.9997158197079","21.8504196733956","25.0301941560353","14.7459123709771","2.56675699540237",2.5
"3","2","Infectiousness","1.28","1","random","1","68.8953328709834","68.4076511585719","100","81.5883962748894","69.3314468004709","68.6514920147776","56.3204630433573","17.1618182041198",2.5
"4","2","nInfected","1.28","1","random","1","22.9338656768242","22.6202351462837","100","28.9549269758142","20.8354900587644","22.777050411554","13.7309827563458","0",2.5
"5","3","Infectiousness","1.28","1","random","1","60.223588058052","59.706339593091","100","75.7107959272337","59.9579244496265","59.9649638255715","45.8786866495146","7.95910099415935",2.5
"6","3","nInfected","1.28","1","random","1","22.1814041764356","21.8645112393303","100","27.939997361183","19.8205604441332","22.022957707883","12.7160531417146","0",2.5
"7","4","Infectiousness","1.28","1","random","1","53.3284157969315","52.7854584040827","100","70.001005404838","52.7512774460572","53.0569371005071","37.2061645376877","0",2.5
"8","4","nInfected","1.28","1","random","1","21.7210589115789","21.3911212587263","100","28.9549269758142","18.805630829502","21.5560900851526","10.6861939124522","0",2.5
"9","5","Infectiousness","1.28","1","random","1","46.615401900728","46.0524538705579","100","64.8048046602362","45.0115295671252","46.333927885643","28.6526691172088","0",2.5
"10","5","nInfected","1.28","1","random","1","19.3945332351097","19.065209581726","100","25.9101381319205","16.7757716002395","19.2298714084178","8.65633468318972","0",2.5
"11","7","Infectiousness","1.28","1","random","1","39.4223806730869","38.841004209431","100","57.804201213056","38.8591951305892","39.1316924412589","20.3858142180351","0",2.5
"12","7","nInfected","1.28","1","random","1","16.7348742445489","16.4025776731606","100","23.8802789026581","13.7309827563458","16.5687259588548","5.61154583929604","0",2.5
"13","10","Infectiousness","1.28","1","random","1","30.1281896637786","29.5434137182553","100","47.7335497572728","29.5550342046481","29.835801691017","10.3724728558326","0",2.5
"14","10","nInfected","1.28","1","random","1","11.7431255094112","11.4236578741611","100","15.7608419856083","7.64140506855849","11.5833916917862","2.56675699540237","0",2.5
"15","15","Infectiousness","1.28","1","random","1","17.1661381040214","16.588912471415","100","32.9802874901702","14.1197240779777","16.8775252877182","0","0",2.5
"16","15","nInfected","1.28","1","random","1","5.45067613816387","5.15330847550315","100","6.62647545392727","1.55182738077114","5.30199230683351","0","0",2.5
"17","20","Infectiousness","1.28","1","random","1","13.7970534448354","13.2271240303551","100","27.9521325046338","11.1117528830886","13.5120887375952","0","0",2.5
"18","20","nInfected","1.28","1","random","1","3.16166260523605","2.87919846104901","100","2.56675699540237","0.536897766139914","3.02043053314253","0","0",2.5
"19","25","Infectiousness","1.28","1","random","1","10.9286681282358","10.3633259545782","100","24.7169578347974","8.65400335114491","10.645997041407","0","0",2.5
"20","25","nInfected","1.28","1","random","1","2.23192856254091","1.95364116819826","100","1.55182738077114","0","2.09278486536958","0","0",2.5
"21","30","Infectiousness","1.28","1","random","1","7.38696546131654","6.82449034858207","100","21.3094419618444","4.47330005722424","7.1057279049493","0","0",2.5
"22","30","nInfected","1.28","1","random","1","1.58196536767682","1.30449445633438","100","0.536897766139914","0","1.4432299120056","0","0",2.5
"23","1","Infectiousness","0.96","1","random","1","82.1969155577195","81.75008989828","100","92.1126430910856","83.7550784817956","81.9735027279998","73.5984198178064","38.4559485701382",2
"24","1","nInfected","0.96","1","random","1","30.0896260111242","29.7204202075766","100","38.2904159683072","25.8469195997765","29.9050231093504","16.7047590024887","0.45202905175478",2
"25","2","Infectiousness","0.96","1","random","1","71.612813307757","71.1222439207883","100","85.0866598520546","73.1263803606524","71.3675286142726","59.0447336880308","20.7047470738659",2
"26","2","nInfected","0.96","1","random","1","28.5148048553256","28.1544013003959","100","36.0048758189852","25.3390217888161","28.3346030778607","16.7047590024887","0.45202905175478",2
"27","3","Infectiousness","0.96","1","random","1","62.7214436118595","62.1971666982926","100","78.2985295835083","63.757861392355","62.4593051550761","48.2036208162306","0.714611282960747",2
"28","3","nInfected","0.96","1","random","1","26.4150405761067","26.05283488735","100","34.9890801970643","22.7995327340139","26.2339377317284","13.6573721367261","0",2
"29","4","Infectiousness","0.96","1","random","1","55.2441031033754","54.6912381818243","100","72.6876821488667","56.0062763542528","54.9676706425998","37.6229111913187","3.15837445080861",2
"30","4","nInfected","0.96","1","random","1","25.0447280042685","24.6804992800019","100","33.9732845751435","21.783737112093","24.8626136421352","12.6415765148052","0",2
"31","5","Infectiousness","0.96","1","random","1","49.5825182450747","49.0091752171312","100","68.2027062842958","50.0431503390416","49.295846731103","29.920233141631","0",2
"32","5","nInfected","0.96","1","random","1","23.6372777840741","23.2640376712563","100","31.9416933313017","19.7521458682513","23.4506577276652","9.59418964904261","0",2
"33","7","Infectiousness","0.96","1","random","1","40.6675080553751","40.0693295133777","100","59.9860323921737","40.4894796963282","40.3684187843764","20.2414332574805","0",2
"34","7","nInfected","0.96","1","random","1","19.6824892133752","19.313904712167","100","27.1166641271776","15.6889633805678","19.4981969627711","6.54680278328","0",2
"35","10","Infectiousness","0.96","1","random","1","30.4633974877143","29.8541341584105","100","49.9570576909045","27.9439359317392","30.1587658230624","9.40024903894362","0",2
"36","10","nInfected","0.96","1","random","1","13.971930535777","13.6130153731061","100","19.7521458682513","8.57839402712174","13.7924729544416","1.46782467367565","0",2
"37","15","Infectiousness","0.96","1","random","1","19.1029681822325","18.5094382309157","100","35.6151674841007","13.8858979330505","18.8062032065741","0.237727593428647","0",2
"38","15","nInfected","0.96","1","random","1","7.19187182104715","6.85861322136231","100","7.56259840520087","1.46782467367565","7.02524252120473","0","0",2
"39","20","Infectiousness","0.96","1","random","1","16.1335943150413","15.5611299989782","100","30.9712779812831","13.7208158692758","15.8473621570097","0","0",2
"40","20","nInfected","0.96","1","random","1","4.12842544270584","3.83541223315376","100","4.51521153943826","0.45202905175478","3.9819188379298","0","0",2
"41","25","Infectiousness","0.96","1","random","1","13.1673433379077","12.5979639348283","100","28.1362485726736","10.0057088249994","12.882653636368","0","0",2
"42","25","nInfected","0.96","1","random","1","2.85891011881957","2.57356486721323","100","2.48362029559652","0","2.7162374930164","0","0",2
"43","30","Infectiousness","0.96","1","random","1","9.16107017230681","8.59618750479773","100","23.2152991621379","6.2897727598812","8.87862883855226","0","0",2
"44","30","nInfected","0.96","1","random","1","1.91372507176757","1.62937005749242","100","1.46782467367565","0","1.77154756463","0","0",2
"45","1","Infectiousness","0.645","1","random","1","84.3511790688757","83.8825492706138","100","93.1180441746395","85.6875769007361","84.1168641697447","76.4692188503911","46.4186572714317",1.5
"46","1","nInfected","0.645","1","random","1","36.0660871182976","35.6300924856014","100","47.3295359755952","32.1361328916323","35.8480898019495","18.9685168855311","1.74932672370648",1.5
"47","2","Infectiousness","0.645","1","random","1","74.5528560037298","74.0353966744163","100","86.605978513478","77.2096931451802","74.2941263390731","63.8093101348692","15.9112239063162",1.5
