"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"1","1","Infectiousness","1.28","1","random","1","90.4564209031487","89.7924308858485","100","98.9203204689494","95.4425110725414","90.1244258944986","84.6576249007269","35.6390444332762",2.5
"2","1","nInfected","1.28","1","random","1","64.4606445087376","63.7044077541639","100","93.4329338368084","74.8262463744322","64.0825261314508","35.4238493952827","0",2.5
"3","2","Infectiousness","1.28","1","random","1","80.469269693832","79.7465685052796","100","97.6904819272798","86.6926046688209","80.1079190995558","67.1743619536091","12.372783073819",2.5
"4","2","nInfected","1.28","1","random","1","55.0890489761966","54.2898160158682","100","90.1494007552126","57.3140699392546","54.6894324960324","21.1952060417009","0",2.5
"5","3","Infectiousness","1.28","1","random","1","72.5495708501886","71.7694755064376","100","96.2631695858871","80.5264505495511","72.1595231783131","52.7935681285173","0.635569156107661",2.5
"6","3","nInfected","1.28","1","random","1","50.116031196139","49.2852712719833","100","90.1494007552126","46.3689596672686","49.7006512340612","13.5336288513107","0",2.5
"7","4","Infectiousness","1.28","1","random","1","63.5619318301276","62.7262566679072","100","93.9029361191145","68.5196142600822","63.1440942490174","36.5773229730689","0",2.5
"8","4","nInfected","1.28","1","random","1","44.1243186580438","43.2811429519819","100","85.7713566464182","36.5183604224813","43.7027308050129","7.78744595851803","0",2.5
"9","5","Infectiousness","1.28","1","random","1","55.0198624739925","54.1476966993537","100","89.9512050291485","55.0886638021555","54.5837795866731","23.2736465406646","0",2.5
"10","5","nInfected","1.28","1","random","1","35.9154564378051","35.0592056319152","100","75.9207574016308","21.1952060417009","35.4873310348602","0.399496524927483","0",2.5
"11","7","Infectiousness","1.28","1","random","1","44.4484154164732","43.5374586405401","100","81.511885697811","39.3497035937073","43.9929370285066","11.0656495191052","0",2.5
"12","7","nInfected","1.28","1","random","1","28.1521176478871","27.2980000120483","100","62.7866250752476","9.15558474251628","27.7250588299677","0","0",2.5
"13","10","Infectiousness","1.28","1","random","1","32.9988101355552","32.0646154287304","100","63.2836958959787","23.0961599467716","32.5317127821428","0.0441500668068259","0",2.5
"14","10","nInfected","1.28","1","random","1","19.4379129551424","18.5897781738457","100","29.1304109888907","0","19.0138455644941","0","0",2.5
"15","15","Infectiousness","1.28","1","random","1","23.3487956386075","22.4125928571674","100","44.3642690048561","12.6605472302284","22.8806942478875","0","0",2.5
"16","15","nInfected","1.28","1","random","1","12.079101684851","11.2514953709144","100","5.87205166092048","0","11.6652985278827","0","0",2.5
"17","20","Infectiousness","1.28","1","random","1","17.0554169375788","16.1479232315859","100","33.6518074806969","6.05095480065653","16.6016700845824","0","0",2.5
"18","20","nInfected","1.28","1","random","1","6.5600976551597","5.78379770958609","100","0","0","6.1719476823729","0","0",2.5
"19","25","Infectiousness","1.28","1","random","1","15.4481621699113","14.5214284493163","100","29.6921526505601","4.30706722077079","14.9847953096138","0","0",2.5
