"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"1","1","Infectiousness","0.96","1","median","1","42.8917374539387","42.6503962501464","83.5317962426656","46.6931880153424","41.0390925530905","42.7710668520425","35.9973479571865","23.6624351893775",2
"2","1","nInfected","0.96","1","median","1","28.6838863964908","28.3357485642939","84.9871708550943","37.9469728677233","25.9367095517988","28.5098174803923","17.9298673411825","2.91703819627682",2
"3","2","Infectiousness","0.96","1","median","1","38.4321376375573","38.2159376638846","78.7244260435101","43.3548820754293","37.346892137056","38.324037650721","32.487250849834","17.4381561944837",2
"4","2","nInfected","0.96","1","median","1","25.6552975536175","25.3628452229371","80.9837497497862","32.9426964860881","24.9358542754718","25.5090713882773","15.9281567885284","2.91703819627682",2
"5","3","Infectiousness","0.96","1","median","1","34.0468899535016","33.8277402157273","70.5339522637217","38.4740212205401","32.7881295155896","33.9373150846144","27.6953655598041","8.23236498867393",2
"6","3","nInfected","0.96","1","median","1","22.7536470244065","22.4777325181116","72.9769075391698","28.9392753807799","20.9324331701636","22.6156897712591","14.9273015122013","1.91618291994978",2
"7","4","Infectiousness","0.96","1","median","1","29.0891893746732","28.8674482933049","72.816195155851","33.5750281831687","27.6013457038792","28.978318833989","23.7768293746226","8.49860919100953",2
"8","4","nInfected","0.96","1","median","1","19.2110102510259","18.9561507774894","69.9743417101887","24.9358542754718","16.9290120648554","19.0835805142576","10.9238804068932","0",2
"9","5","Infectiousness","0.96","1","median","1","25.3414749662358","25.1252128074944","75.6697942411063","29.5169524531267","24.4130679715779","25.2333438868651","19.4998830506297","4.31883822863133",2
"10","5","nInfected","0.96","1","median","1","16.0698295709592","15.8265182171507","71.9760522628428","20.9324331701636","13.9264462358743","15.9481738940549","8.92216985423908","0",2
"11","7","Infectiousness","0.96","1","median","1","18.3338808326176","18.1540429602832","54.6175555399906","22.5513306482907","17.5513967665446","18.2439618964504","13.4618178302718","2.36595027017823",2
"12","7","nInfected","0.96","1","median","1","10.1338224339176","9.95243309353315","56.9632231179371","12.9255909595473","7.92131457791204","10.0431277637254","4.91874874893091","0",2
"13","10","Infectiousness","0.96","1","median","1","11.4660215611033","11.3166945588249","38.2756114993662","14.5582636862682","10.9193868668889","11.3913580599641","7.78260982283432","0",2
"14","10","nInfected","0.96","1","median","1","5.19899543826374","5.08251785491407","33.9435517624152","6.920459301585","3.91789347260387","5.14075664658891","1.91618291994978","0",2
"15","15","Infectiousness","0.96","1","median","1","6.19050987837196","6.07235977392644","19.2330144883054","8.7938013980231","5.81836531186392","6.1314348261492","3.18811242723263","0",2
"16","15","nInfected","0.96","1","median","1","1.60863307023895","1.56134855041872","14.9273015122013","1.91618291994978","0.915327643622739","1.58499081032884","0","0",2
"17","20","Infectiousness","0.96","1","median","1","4.55273028608893","4.43724295609851","15.785852345835","7.12572399094996","4.37593061869115","4.49498662109372","1.87383290200564","0",2
"18","20","nInfected","0.96","1","median","1","0.976269612242352","0.941733044573492","11.9247356832202","0.915327643622739","0.915327643622739","0.959001328407922","0","0",2
